seed,Accuracy,Precision,Recall,F1,AUC
0,0.8940397350993378,0.7894736842105263,0.937984496124031,0.8336088154269972,0.9763918252290346
1,0.7284768211920529,0.6768578643578643,0.8216863517060368,0.6690189788826517,0.8835301837270342
2,0.8344370860927153,0.6951219512195121,0.9074074074074074,0.7296813462226996,0.9273148148148148
3,0.9271523178807947,0.8904682274247492,0.7673664122137405,0.8128872366790583,0.9435114503816793
4,0.8609271523178808,0.7091397849462365,0.8249791144527987,0.7442123094297007,0.9314954051796157
5,0.8543046357615894,0.679510155316607,0.7638279192273925,0.7073643410852712,0.893766461808604
6,0.9139072847682119,0.7708899456521738,0.869212962962963,0.8086185044359949,0.9222222222222223
7,0.9668874172185431,0.8786215978928884,0.9496871741397289,0.910129746458755,0.9744525547445255
8,0.9139072847682119,0.8155901116427433,0.8020992366412214,0.8086185044359949,0.9278625954198473
9,0.8741721854304636,0.9340277777777778,0.6346153846153846,0.6768052269911006,0.8744615384615385
10,0.8874172185430463,0.7195991847826086,0.7993055555555555,0.7497318904163011,0.912962962962963
11,0.9205298013245033,0.8279457768508863,0.7627401837928154,0.7902777777777779,0.9335839598997494
12,0.9271523178807947,0.863660062565172,0.77811004784689,0.8128872366790583,0.916267942583732
13,0.9470198675496688,0.8498329156223893,0.8877314814814814,0.8674275680421422,0.9291666666666666
14,0.8807947019867549,0.7246117084826762,0.8301141352063213,0.7605708245243129,0.9284460052677788
15,0.847682119205298,0.7091787439613526,0.8452950558213717,0.7443503864556495,0.911084529505582
16,0.8410596026490066,0.675206611570248,0.7656641604010025,0.702755905511811,0.8918128654970761
17,0.8609271523178808,0.6326426630434783,0.7341127098321343,0.6606741573033708,0.8633093525179856
18,0.8940397350993378,0.7922222222222222,0.8126698369565217,0.8018372703412073,0.8783967391304348
19,0.9006622516556292,0.781989247311828,0.9003816793893129,0.8230606983829389,0.9583969465648856
20,0.8145695364238411,0.7080712788259957,0.8371263586956521,0.7342885872297638,0.9065896739130435
21,0.847682119205298,0.658246225319396,0.767156862745098,0.6881565951333393,0.8862745098039215
22,0.8741721854304636,0.6808441558441558,0.6163324979114453,0.6376152583049135,0.883876357560568
23,0.8344370860927153,0.6972519795062878,0.8377192982456141,0.7296813462226996,0.9310207336523126
24,0.9072847682119205,0.9527027027027026,0.5882352941176471,0.625177304964539,0.8832309043020193
25,0.8807947019867549,0.750137741046832,0.8465648854961833,0.7842857142857143,0.9370229007633588
26,0.8940397350993378,0.7709366391184573,0.875381679389313,0.8082539682539682,0.9351145038167938
27,0.8807947019867549,0.7199477351916377,0.8506944444444444,0.7605708245243129,0.9370370370370371
28,0.9006622516556292,0.8295454545454546,0.6503189792663477,0.694949494949495,0.9425837320574162
29,0.847682119205298,0.7091649159663865,0.7917582417582418,0.736834128968705,0.8985347985347985
