seed,Accuracy,Precision,Recall,F1,AUC
0,0.9060402684563759,0.8366941738536948,0.8950280264977797,0.8607104700854701,0.9503530610759263
1,0.9026845637583892,0.8337386018237083,0.8645956316410862,0.8477529376530486,0.9524793388429752
2,0.9026845637583892,0.8131677350427351,0.8843947217441193,0.8416607119954562,0.9488566510941726
3,0.9161073825503355,0.8885240775484677,0.8437781005741163,0.8635006137891863,0.946392750916511
4,0.8758389261744967,0.8050734312416556,0.8793318115791657,0.8313938374493464,0.9445251435290862
5,0.9295302013422819,0.8758708302598148,0.8698387096774194,0.8728126333760136,0.9658064516129032
6,0.9026845637583892,0.8802622498274673,0.8049041986580896,0.8348336295701699,0.9452860206128519
7,0.889261744966443,0.8176942186088527,0.8990497127863273,0.8467149871405191,0.953833061485001
8,0.912751677852349,0.8773517504167658,0.8371037515069852,0.8550692106247662,0.9385859158924899
9,0.9194630872483222,0.85215114104003,0.8736207033420655,0.8623026569118213,0.9475271890132572
10,0.8959731543624161,0.823849104859335,0.8687122370240955,0.8430912951167728,0.9568319138094198
11,0.9261744966442953,0.8822557471264367,0.8822557471264367,0.8822557471264367,0.9576149425287356
12,0.8791946308724832,0.7842899254378359,0.903122694861077,0.8209134615384616,0.9536103598065733
13,0.9026845637583892,0.8365639335788589,0.8742097701149425,0.8532144373673036,0.951580459770115
14,0.8456375838926175,0.7224540165716636,0.8592578532789219,0.7569675909509964,0.9420138559362248
15,0.9161073825503355,0.8565296803652969,0.9100840336134454,0.8790171974211988,0.961764705882353
16,0.912751677852349,0.8523483812129503,0.8166543725924105,0.8329020013802622,0.9487746905991312
17,0.9026845637583892,0.8553171131765992,0.8511651469098278,0.8532144373673036,0.932725430597771
18,0.9228187919463087,0.8497624281965818,0.8977419354838709,0.8708814498050224,0.9469354838709678
19,0.8993288590604027,0.8203634085213032,0.8880540376442015,0.847252597047567,0.9480115361262902
20,0.8825503355704698,0.7854204618910501,0.9047499999999999,0.8228450106157112,0.96225
21,0.889261744966443,0.7987851662404092,0.8709613400015876,0.8267533428465725,0.932920536635707
22,0.8154362416107382,0.7577443753914342,0.8656369600874796,0.7760286420967764,0.9591990158556589
23,0.9026845637583892,0.8351706970128023,0.9010353875611659,0.8611392303366273,0.9624140131905539
24,0.9328859060402684,0.8942709613966069,0.8704659222179438,0.8817178693339685,0.9454755487100501
25,0.9026845637583892,0.8358707264957265,0.8661643735895757,0.8496389734667247,0.9303341340904128
26,0.8657718120805369,0.7778082492321193,0.8959505941213258,0.8114043414973736,0.956066291432145
27,0.9261744966442953,0.873777435502503,0.873777435502503,0.873777435502503,0.9302271852137081
28,0.9093959731543624,0.8344155844155845,0.8597681987774868,0.8462244137377444,0.9464951972691912
29,0.9295302013422819,0.8436974789915966,0.9310935441370224,0.8786150712830958,0.9631093544137022
