seed,Accuracy,Precision,Recall,F1,AUC
0,0.9326923076923077,0.8287234042553191,0.8020527859237536,0.8146167557932263,0.946236559139785
1,0.9134615384615384,0.7698863636363636,0.8714565004887586,0.8084714548802947,0.9481915933528837
2,0.8942307692307693,0.7585227272727273,0.8076923076923077,0.7796185706029667,0.967032967032967
3,0.9615384615384616,0.921875,0.8446808510638297,0.8783625730994152,0.9574468085106383
4,0.9326923076923077,0.8296703296703296,0.8532608695652174,0.8408743169398907,0.9646739130434783
5,0.9423076923076923,0.8340425531914893,0.8340425531914893,0.8340425531914893,0.973404255319149
6,0.9423076923076923,0.9234042553191489,0.8158730158730159,0.8586956521739131,0.9539682539682539
7,0.8942307692307693,0.7579365079365079,0.7747252747252747,0.7659095559648046,0.9171597633136095
8,0.9230769230769231,0.8441947565543071,0.8441947565543071,0.8441947565543071,0.9258426966292135
9,0.9134615384615384,0.8062880324543611,0.8595238095238096,0.82941498086386,0.9206349206349207
10,0.9711538461538461,0.9064625850340136,0.8519882179675995,0.8769230769230769,0.9440353460972017
11,0.8942307692307693,0.7135416666666667,0.6603128054740959,0.6814257866889446,0.8250244379276637
12,0.8942307692307693,0.766629711751663,0.9065934065934066,0.8110652353426919,0.9425190194420964
13,0.9519230769230769,0.9079528718703976,0.7946808510638298,0.8398521712349862,0.9797872340425532
14,0.8653846153846154,0.7200229489386116,0.8241758241758241,0.7538877620013522,0.889264581572274
15,0.9326923076923077,0.8362229102167182,0.930952380952381,0.8739393939393939,0.9634920634920635
16,0.9423076923076923,0.8,0.968421052631579,0.8586956521739131,0.9847953216374269
17,0.8942307692307693,0.7277777777777779,0.7805474095796676,0.7499453551912569,0.8944281524926686
18,0.9230769230769231,0.9578947368421052,0.7647058823529411,0.8241758241758241,0.9837728194726166
19,0.8653846153846154,0.7423510466988728,0.8382022471910113,0.7746130030959752,0.9325842696629214
20,0.9423076923076923,0.8892045454545454,0.8892045454545454,0.8892045454545454,0.9424715909090908
21,0.8846153846153846,0.8013955984970478,0.8476780185758515,0.8209982788296042,0.9356037151702786
22,0.9134615384615384,0.7698863636363636,0.8714565004887586,0.8084714548802947,0.9618768328445748
23,0.8557692307692307,0.6590909090909091,0.9226804123711341,0.6994798690040455,0.9852724594992636
24,0.9230769230769231,0.9591836734693877,0.7142857142857143,0.7787234042553192,0.9865079365079366
25,0.9615384615384616,0.8645833333333333,0.8645833333333333,0.8645833333333333,0.9322916666666666
26,0.7403846153846154,0.6213250517598343,0.8117021276595745,0.6171779141104294,0.9095744680851064
27,0.7884615384615384,0.6649305555555556,0.8442028985507246,0.6829268292682926,0.9438405797101449
28,0.9134615384615384,0.844891640866873,0.8598191214470284,0.8520625889046942,0.9392764857881137
29,0.8846153846153846,0.8362573099415205,0.6943881000676133,0.7362637362637363,0.9391480730223124
