seed,Accuracy,Precision,Recall,F1,AUC
0,0.9194630872483222,0.859755694948828,0.8966295406566208,0.8763228885660925,0.9634563587391716
1,0.8993288590604027,0.8242650545282124,0.9037042502951593,0.8540360501567398,0.9622195985832349
2,0.9060402684563759,0.8184397163120567,0.8864027538726333,0.8460743801652892,0.9523809523809523
3,0.9194630872483222,0.8918752406623027,0.8519748218855918,0.8698405765450972,0.9532406446704018
4,0.912751677852349,0.855618291245269,0.8964515459638929,0.8734979101358411,0.9485370408798506
5,0.9463087248322147,0.8882183908045977,0.9358064516129032,0.9095324833029751,0.9702419354838709
6,0.912751677852349,0.8633569739952719,0.8721034792833922,0.8676189174412248,0.9460468976966177
7,0.8993288590604027,0.830289582977755,0.9117083894759237,0.8599624060150376,0.9697893766399546
8,0.9093959731543624,0.8618654073199528,0.8477767534217431,0.8545421675856459,0.9419899297922133
9,0.9060402684563759,0.8298540965207633,0.8499642772088593,0.8393530997304581,0.9522902278320234
10,0.9228187919463087,0.8850062539086929,0.8585207832860159,0.8708814498050224,0.9526097401179296
11,0.9194630872483222,0.8877419354838709,0.8454022988505747,0.8642987249544627,0.9647270114942529
12,0.8758389261744967,0.7782124229492651,0.8847225637242848,0.8127218683651805,0.9492664535693796
13,0.912751677852349,0.8557271733187535,0.8739224137931034,0.8643557422969188,0.9573275862068965
14,0.8825503355704698,0.7606169871794872,0.8704090348296478,0.7976917854718262,0.9406852045174148
15,0.8691275167785235,0.7980304719435154,0.8931372549019607,0.8270407024332167,0.9548319327731092
16,0.9194630872483222,0.8774378774378775,0.8124743873452995,0.8400143163922691,0.9554954511925251
17,0.912751677852349,0.8604579015945896,0.892401215805471,0.8748465464883375,0.9480580884836204
18,0.9261744966442953,0.86118700667881,0.8837903225806452,0.8718730456535335,0.9404032258064516
19,0.9093959731543624,0.8459783015338571,0.8509411050394657,0.8484260497711131,0.9527929568913176
20,0.9228187919463087,0.8406957109084768,0.9203333333333333,0.8726850561902109,0.9645833333333333
21,0.8993288590604027,0.8129865198405164,0.8925934746368183,0.8434873949579832,0.9498293244423276
22,0.8590604026845637,0.7921823432343233,0.8872334609075998,0.8191434021154846,0.9589256424275561
23,0.9194630872483222,0.8632809976093558,0.8987305864832282,0.8792299898682878,0.9572370753847245
24,0.9328859060402684,0.8814814814814815,0.8926453600308049,0.8869156041287188,0.9670388910281094
25,0.8926174496644296,0.818204380467829,0.8733347892552958,0.8408119658119658,0.9483875664264395
26,0.8657718120805369,0.7793290043290044,0.9035334584115072,0.81328320802005,0.9725609756097561
27,0.9026845637583892,0.8230179028132992,0.88906430496727,0.8496389734667247,0.9510974201001156
28,0.9060402684563759,0.8221004566210046,0.919980947844725,0.8574357572443958,0.953560371517028
29,0.9161073825503355,0.8221705850191361,0.9140535792709705,0.8576151979053188,0.9488801054018445
