seed,Accuracy,Precision,Recall,F1,AUC
0,0.625,0.5967261904761905,0.7197802197802198,0.5476748076279693,0.8546069315300086
1,0.6634615384615384,0.6313923105636432,0.75,0.6015325670498084,0.8288352272727273
2,0.5961538461538461,0.6181818181818182,0.7692307692307692,0.5411764705882353,0.900253592561285
3,0.5865384615384616,0.6079777365491651,0.730952380952381,0.5337295381086435,0.8658730158730159
4,0.5961538461538461,0.5961538461538461,0.7355072463768115,0.5260416666666667,0.9293478260869564
5,0.5769230769230769,0.6121687196715192,0.7250936329588016,0.5326797385620915,0.8943820224719101
6,0.6442307692307693,0.6063829787234043,0.8031914893617021,0.5529220401998374,0.9234042553191489
7,0.5576923076923077,0.6166666666666667,0.7444444444444445,0.5175473981444131,0.9246031746031746
8,0.6057692307692307,0.6261595547309833,0.7414772727272727,0.5616325691374524,0.8387784090909091
9,0.6153846153846154,0.6226415094339622,0.7802197802197802,0.5561246265471618,0.9163144547759933
10,0.6057692307692307,0.6272727272727272,0.7722222222222221,0.5554165363361485,0.9111111111111111
11,0.5576923076923077,0.6264034068912118,0.6873207114170969,0.5407066052227343,0.861732644865175
12,0.5576923076923077,0.5740740740740741,0.7604166666666667,0.47149801148917364,0.8958333333333335
13,0.6057692307692307,0.6203703703703703,0.7747252747252747,0.5486397798242828,0.929839391377853
14,0.6057692307692307,0.6203703703703703,0.7747252747252747,0.5486397798242828,0.9442096365173288
15,0.6153846153846154,0.6363636363636364,0.7752808988764045,0.5693581780538303,0.8584269662921349
16,0.6057692307692307,0.5565967016491754,0.7223858615611193,0.4809494826536823,0.873343151693667
17,0.6538461538461539,0.6337662337662338,0.7700374531835206,0.59375,0.9228464419475656
18,0.5384615384615384,0.5752146323254946,0.6703296703296704,0.4832298136645963,0.8064243448858833
19,0.6057692307692307,0.5816326530612245,0.7864583333333333,0.5045892877890089,0.8919270833333333
20,0.5673076923076923,0.5751017388087311,0.7159574468085106,0.4876847290640394,0.8521276595744681
21,0.5769230769230769,0.5769230769230769,0.7212765957446808,0.4944763588157314,0.8872340425531915
22,0.6634615384615384,0.6276595744680851,0.8097826086956521,0.5859401660789444,0.8940217391304348
23,0.6153846153846154,0.607843137254902,0.7849462365591398,0.5404330534688466,0.9051808406647116
24,0.5865384615384616,0.6090909090909091,0.7663043478260869,0.5266222081083942,0.9003623188405797
25,0.5480769230769231,0.5937853107344633,0.6608527131782946,0.5154158818280956,0.8404392764857882
26,0.6153846153846154,0.6082130965593785,0.7472527472527473,0.5486111111111112,0.8951817413355875
27,0.6153846153846154,0.6222715501294858,0.7475655430711611,0.5630252100840336,0.8674157303370786
28,0.625,0.5952380952380952,0.7502443792766373,0.5386190422022523,0.8543499511241447
29,0.5673076923076923,0.6277163553183378,0.7164082687338501,0.5407712687665588,0.7868217054263567
