seed,Accuracy,Precision,Recall,F1,AUC
0,0.9261744966442953,0.8676100019383601,0.9141734003057436,0.8879852378348825,0.9637475431316882
1,0.9228187919463087,0.8619016176956091,0.9044421487603306,0.8807481513701609,0.9673848878394333
2,0.912751677852349,0.8285038838230327,0.8986148676338005,0.85706906729634,0.9563150561429392
3,0.9161073825503355,0.8995,0.8316040672338659,0.8596537497880677,0.9587051255447188
4,0.9161073825503355,0.8671207264957265,0.8803002005948676,0.8734607218683652,0.9535173272463167
5,0.9261744966442953,0.86118700667881,0.8837903225806452,0.8718730456535335,0.9732258064516128
6,0.8557046979865772,0.7856174384647476,0.8788476170713149,0.812537488113525,0.9507505014871689
7,0.9362416107382551,0.8840852130325814,0.9347209417771789,0.9060139767275865,0.9716332175023048
8,0.9026845637583892,0.8508707201889021,0.8372101269413517,0.8437675133327307,0.9487979575916602
9,0.9060402684563759,0.8280556162189707,0.857743907279511,0.8416818457802064,0.9588790981979837
10,0.9228187919463087,0.8680289775833789,0.8920069884254204,0.8792523298627628,0.9657130377811749
11,0.9194630872483222,0.8685574229691877,0.8780890804597701,0.8732004822353024,0.9730603448275863
12,0.8926174496644296,0.798493766217328,0.8865666748627161,0.8309339763137367,0.9591017129743463
13,0.912751677852349,0.8536324786324787,0.8804597701149426,0.8660164626132669,0.9619252873563218
14,0.9261744966442953,0.8281331836887392,0.9162000569422037,0.8634166666666667,0.9589067096896651
15,0.9060402684563759,0.8412004662004662,0.9100140056022409,0.8679830390481615,0.9580532212885154
16,0.912751677852349,0.8626868626868627,0.8002622735841325,0.826682176091625,0.9577083845586427
17,0.8926174496644296,0.8411842014249152,0.8331644714623438,0.8370694368507381,0.9375211077338736
18,0.9261744966442953,0.8561063218390805,0.899758064516129,0.8756071645415908,0.9445967741935483
19,0.8859060402684564,0.8027389277389277,0.8942774741955071,0.8345741901776385,0.9452792956891317
20,0.9161073825503355,0.8293273890288816,0.92475,0.865316821838561,0.9526666666666667
21,0.889261744966443,0.7987851662404092,0.8709613400015876,0.8267533428465725,0.9481622608557594
22,0.8993288590604027,0.8358923008455719,0.9126571897211591,0.8639269406392693,0.965486604702023
23,0.9228187919463087,0.8691222570532915,0.9008226366924332,0.883583864118896,0.9629104318842635
24,0.9194630872483222,0.8519748218855918,0.8918752406623027,0.8698405765450972,0.9658837119753562
25,0.9093959731543624,0.8458199786324787,0.8770109922108176,0.8600086994345367,0.9294605809128631
26,0.8791946308724832,0.7929461504227859,0.9116635397123203,0.8285166240409207,0.9707629768605378
27,0.912751677852349,0.8508278783211398,0.8508278783211398,0.8508278783211398,0.9531767423950712
28,0.9261744966442953,0.8561942311682922,0.908787806620624,0.8790584415584416,0.9487179487179488
29,0.8758389261744967,0.7680984555984556,0.8903381642512077,0.8057537480400965,0.9463328941589811
