seed,Accuracy,Precision,Recall,F1,AUC
0,0.8275862068965517,0.6700854700854701,0.7787114845938375,0.6979166666666667,0.896358543417367
1,0.7413793103448276,0.6138888888888889,0.7296918767507004,0.6175824175824176,0.8375350140056022
2,0.8103448275862069,0.7105263157894737,0.89,0.7344985434873075,0.9175000000000001
3,0.8793103448275862,0.8194444444444444,0.6564625850340136,0.696788648244959,0.8458049886621315
4,0.7758620689655172,0.6324404761904762,0.7492997198879552,0.6474988312295465,0.7983193277310924
5,0.6896551724137931,0.5909090909090909,0.8333333333333333,0.5538461538461539,0.8657407407407407
6,0.7413793103448276,0.6486842105263158,0.7562358276643991,0.6551724137931034,0.8752834467120181
7,0.9310344827586207,0.46551724137931033,0.5,0.48214285714285715,0.8287037037037037
8,0.6896551724137931,0.5909090909090909,0.8333333333333333,0.5538461538461539,0.9166666666666666
9,0.43103448275862066,0.5540540540540541,0.6944444444444444,0.3775609756097561,0.8796296296296297
10,0.9137931034482759,0.956140350877193,0.5833333333333334,0.6199213630406291,0.7788461538461539
11,0.8103448275862069,0.6156462585034014,0.6275,0.6209150326797386,0.8125
12,0.7241379310344828,0.5982783357245337,0.655328798185941,0.6034188034188034,0.7006802721088434
13,0.8620689655172413,0.7142857142857143,0.9230769230769231,0.7583333333333333,0.9326923076923077
14,0.8620689655172413,0.71,0.71,0.71,0.8899999999999999
15,0.8793103448275862,0.45535714285714285,0.4811320754716981,0.46788990825688076,0.8037735849056604
16,0.7586206896551724,0.5725338491295938,0.5850340136054422,0.5770833333333333,0.7619047619047619
17,0.8275862068965517,0.6666666666666666,0.9056603773584906,0.6979166666666667,0.9509433962264151
18,0.7068965517241379,0.5986842105263157,0.7100840336134454,0.5896795672076571,0.7787114845938375
19,0.7758620689655172,0.717391304347826,0.8645833333333333,0.7247170500182549,0.8875
20,0.7413793103448276,0.6138888888888889,0.7296918767507004,0.6175824175824176,0.8179271708683473
21,0.896551724137931,0.6303030303030303,0.5811320754716981,0.5972222222222222,0.8301886792452831
22,0.8275862068965517,0.61875,0.6826923076923077,0.6375,0.7724358974358975
23,0.7758620689655172,0.6130952380952381,0.7867924528301887,0.6220551378446115,0.769811320754717
24,0.9137931034482759,0.8075435203094777,0.8975,0.8426478567552902,0.91
25,0.6379310344827587,0.5997596153846154,0.7324929971988795,0.5553121577217963,0.8151260504201681
26,0.7931034482758621,0.6443452380952381,0.8108974358974359,0.6634429400386848,0.891025641025641
27,0.896551724137931,0.6303030303030303,0.5811320754716981,0.5972222222222222,0.7924528301886793
28,0.8275862068965517,0.6141304347826086,0.7916666666666667,0.6375,0.9259259259259259
29,0.9310344827586207,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.6696428571428572
