Project,Metric,Baseline Median,Solution Median,p-value,Significant
pytorch,Accuracy,0.6391,0.8808,< 0.0001,Yes
pytorch,Precision,0.6128,0.7374,< 0.0001,Yes
pytorch,Recall,0.7631,0.8172,0.001,Yes
pytorch,F1,0.5663,0.747,< 0.0001,Yes
pytorch,AUC,0.8445,0.9248,< 0.0001,Yes
tensorflow,Accuracy,0.557,0.9027,< 0.0001,Yes
tensorflow,Precision,0.6381,0.8362,< 0.0001,Yes
tensorflow,Recall,0.7106,0.8737,< 0.0001,Yes
tensorflow,F1,0.5417,0.8487,< 0.0001,Yes
tensorflow,AUC,0.8687,0.9488,< 0.0001,Yes
keras,Accuracy,0.5672,0.8731,< 0.0001,Yes
keras,Precision,0.6366,0.8111,< 0.0001,Yes
keras,Recall,0.7038,0.8402,< 0.0001,Yes
keras,F1,0.5518,0.8257,< 0.0001,Yes
keras,AUC,0.8446,0.921,< 0.0001,Yes
incubator-mxnet,Accuracy,0.6058,0.9135,< 0.0001,Yes
incubator-mxnet,Precision,0.6106,0.8175,< 0.0001,Yes
incubator-mxnet,Recall,0.7488,0.8442,< 0.0001,Yes
incubator-mxnet,F1,0.5407,0.8178,< 0.0001,Yes
incubator-mxnet,AUC,0.893,0.9439,< 0.0001,Yes
caffe,Accuracy,0.5517,0.8017,< 0.0001,Yes
caffe,Precision,0.5626,0.6277,0.0003,Yes
caffe,Recall,0.6547,0.6953,0.1761,No
caffe,F1,0.4775,0.6329,< 0.0001,Yes
caffe,AUC,0.7472,0.8217,0.0008,Yes
